giocatore;incontri;carico_medio;scarto_carico_basso;scarto_carico_alto;coeff_per_100_minuti
Richard Krajicek;563;315;5.27;-2.78;-1.795
Kei Nishikori;525;314;8.76;-1.01;-1.743
Milos Raonic;482;311;7.34;-7.04;-1.703
Fernando Verdasco;909;315;4.70;-9.73;-1.596
Roberto Bautista Agut;415;322;5.89;-5.94;-1.569
Robin Soderling;440;297;7.53;-3.65;-1.492
Todd Martin;547;305;2.12;-8.23;-1.223
Guillermo Coria;300;374;3.84;-4.69;-1.182
Fernando Gonzalez;506;308;2.82;-4.81;-1.113
Richard Gasquet;791;297;3.43;-2.31;-1.106
Fabrice Santoro;802;267;3.47;3.12;-0.833
Stefan Edberg;395;410;5.47;-8.75;-0.793
Tommy Haas;797;321;4.68;1.79;-0.791
Philipp Kohlschreiber;730;263;1.42;3.10;-0.568
Grigor Dimitrov;481;304;4.01;-1.07;-0.511
Jarkko Nieminen;659;286;0.91;-1.63;-0.500
Francisco Clavet;653;315;1.18;-1.02;-0.454
Marcelo Rios;500;349;5.73;6.27;-0.401
Gael Monfils;703;310;1.19;2.14;-0.376
Tim Henman;692;357;1.36;-2.27;-0.374
Nicolas Kiefer;562;297;5.28;4.16;-0.344
Ivan Ljubicic;664;337;4.27;0.35;-0.338
David Nalbandian;525;339;3.14;1.95;-0.337
Carlos Moya;822;368;1.78;3.59;-0.332
Nicolas Massu;412;312;-2.61;-3.33;-0.324
Kevin Anderson;504;306;4.20;0.17;-0.298
Jo Wilfried Tsonga;600;315;5.83;4.04;-0.252
Alexander Zverev;326;403;10.45;9.86;-0.223
Juan Carlos Ferrero;682;371;4.16;4.27;-0.203
David Goffin;384;323;0.58;-4.04;-0.187
Gilles Simon;785;314;0.22;-2.67;-0.115
Malivai Washington;345;298;-0.03;2.55;-0.106
Cedric Pioline;591;329;-0.31;-5.57;-0.070
Sebastien Grosjean;536;318;1.12;-1.64;-0.050
Andy Roddick;747;367;7.11;7.96;-0.043
David Ferrer;1017;361;-1.72;-2.90;-0.033
Paul Henri Mathieu;524;256;0.78;5.26;-0.029
Juan Martin Del Potro;564;378;2.91;5.02;-0.011
Alexander Volkov;350;318;-5.56;-6.50;0.000
John Isner;627;341;3.61;6.00;0.036
Roger Federer;1395;386;1.32;1.75;0.049
Michael Chang;715;369;-0.99;-2.64;0.107
Andreas Seppi;694;275;0.43;6.52;0.135
Tommy Robredo;821;327;-1.18;0.21;0.151
Mario Ancic;309;362;4.36;6.60;0.163
Radek Stepanek;610;275;1.74;7.33;0.165
Igor Andreev;420;314;-0.41;-0.86;0.170
Albert Costa;592;314;-1.09;-2.47;0.185
Javier Sanchez;463;306;-3.77;-1.68;0.187
Dominik Hrbaty;601;277;-2.63;0.83;0.306
Guillermo Garcia Lopez;612;269;-0.56;-0.59;0.318
Mikhail Youzhny;826;303;-0.02;3.52;0.326
Lleyton Hewitt;772;408;-0.58;2.56;0.341
Novak Djokovic;1001;394;0.91;4.53;0.379
Jim Courier;493;346;-0.99;-1.32;0.381
Tomas Berdych;860;328;-1.64;-2.42;0.459
Gaston Gaudio;423;371;-4.78;-0.19;0.460
Rafael Nadal;1100;448;0.56;5.50;0.469
Alex Corretja;648;358;-3.29;-0.94;0.481
Felix Mantilla;502;317;1.18;6.31;0.482
Fabio Fognini;598;295;-2.14;-4.91;0.484
Andrei Medvedev;460;308;2.10;3.93;0.507
Andy Murray;787;397;-0.83;3.22;0.514
Marin Cilic;697;347;1.20;2.52;0.517
Wayne Ferreira;726;320;-0.49;1.30;0.518
Rainer Schuettler;610;305;-0.82;4.04;0.539
Nicolas Lapentti;532;313;-1.89;1.91;0.546
Guillermo Canas;413;327;-0.85;3.64;0.552
Sam Querrey;605;264;-0.81;3.28;0.604
Brad Gilbert;208;383;-12.49;-7.87;0.614
Stefanos Tsitsipas;192;417;4.05;12.24;0.641
James Blake;570;270;-0.12;-3.98;0.667
Mariano Zabaleta;386;296;-0.80;1.41;0.671
Magnus Norman;374;320;-1.02;9.22;0.686
Carlos Costa;377;298;0.66;-2.36;0.696
Albert Ramos;434;324;-2.52;3.31;0.793
Boris Becker;381;331;-4.71;4.33;0.806
Nicolas Almagro;618;320;0.74;5.10;0.810
Arnaud Clement;592;280;-3.52;-1.07;0.813
Max Mirnyi;425;273;-3.85;6.07;0.827
Thomas Enqvist;656;322;-1.82;6.19;0.843
Yevgeny Kafelnikov;783;420;-3.96;2.13;0.852
Pete Sampras;714;383;-1.08;4.51;0.855
Jordi Arrese;228;337;-10.94;-5.20;0.874
Petr Korda;474;353;-2.28;3.60;0.876
Marc Rosset;605;279;-1.96;-2.02;0.887
Mark Philippoussis;446;297;-2.02;4.29;0.893
David Wheaton;290;314;-8.06;-7.14;0.895
Nikolay Davydenko;760;357;-0.31;7.04;0.922
Jason Stoltenberg;414;270;0.59;2.89;0.928
Magnus Gustafsson;480;331;-1.94;4.08;0.929
Sergi Bruguera;516;346;-4.95;-0.18;0.979
Juan Ignacio Chela;555;327;-5.34;-0.48;0.990
Andre Agassi;783;317;-3.43;2.33;1.062
Jonas Bjorkman;683;296;-3.03;4.44;1.083
Goran Ivanisevic;668;340;-3.31;1.89;1.084
Dmitry Tursunov;417;278;-2.74;0.96;1.139
Pablo Carreno Busta;314;323;2.43;6.99;1.223
Dominic Thiem;389;385;3.19;8.75;1.252
Agustin Calleri;364;286;0.08;5.42;1.299
